Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Private lane , love lane. 1st shop. Lucknow, Uttar Pradesh",26.8489177,80.9432426,Clothing store,3.7,13,"Lucknow, Uttar Pradesh",,Delivery
"Atul Jewellers Hardoi, Uttar Pradesh",27.3939189,80.1294621,Jewelry store,4,153,"Hardoi, Uttar Pradesh",094151 49060,Delivery
"Om Prakash verma Kirana store Amjhala Majhgawan, Uttar Pradesh",28.3035544,79.2773555,Grocery store,3.7,87,"Majhgawan, Uttar Pradesh",,In-store shopping
"F-Street Prayagraj, Uttar Pradesh",25.4500656,81.8341313,Shopping mall,3.6,14,"Prayagraj, Uttar Pradesh",0532 256 0090,In-store shopping
"Baldev .Mahatma Kirana Store. Sonu Chatt Bhandar Bilgram, Uttar Pradesh",27.2159668,80.0156449,Store,4.6,9,"Bilgram, Uttar Pradesh",,
"Banarasi pan shop Hardoi, Uttar Pradesh",27.394519,80.1293182,Tobacco shop,4.2,10,"Hardoi, Uttar Pradesh",,Delivery
"RAJA Sweets Shahabad, Uttar Pradesh",27.6454625,79.9457622,Indian sweets shop,4.3,256,"Shahabad, Uttar Pradesh",099359 99092,
"SUNDAR MISTHAN BHANDAR Maigalganj, Maholi, Uttar Pradesh",27.7169084,80.3432978,Fast Food,4.7,10,"Maigalganj, Maholi, Uttar Pradesh",084001 10751,
"Famous Footwear Lakhimpur, Uttar Pradesh",27.9487538,80.7821894,Shoe store,,,"Lakhimpur, Uttar Pradesh",093357 93273,
"gulistan Shahjahanpur, Uttar Pradesh",27.8819013,79.9110612,Furniture store,3.8,11,"Shahjahanpur, Uttar Pradesh",,
"Pyare Lal Sweets , Bewar Bewar, Uttar Pradesh",27.219164,79.2988113,Sweet shop,3.7,105,"Bewar, Uttar Pradesh",088100 04459,In-store shopping
"Family Shop Lucknow, Uttar Pradesh",26.8573089,80.9043935,Clothing store,3,4,"Lucknow, Uttar Pradesh",093891 50200,In-store shopping
"Famous Tailor Bareilly, Uttar Pradesh",28.3320061,79.4603261,Men's clothing store,,,"Bareilly, Uttar Pradesh",076691 03035,
"Ashok kirana store Hardoi, Uttar Pradesh",27.3901732,80.1292351,Shopping mall,3.9,59,"Hardoi, Uttar Pradesh",,
"Mahalaxmi Vastralaya Hardoi Hardoi, Uttar Pradesh",27.3850735,80.122876,Clothing store,4.7,26,"Hardoi, Uttar Pradesh",,
"Yaduvansi famous Salempur, Uttar Pradesh",26.293934,83.9240955,Store,,,"Salempur, Uttar Pradesh",,
"KRI Designer Chikan Studio Lucknow, Uttar Pradesh",26.842449,80.9512556,Designer Clothing Store,4.6,32,"Lucknow, Uttar Pradesh",090440 55160,In-store shopping
"Bajrang Cycle Stores Lakhimpur, Uttar Pradesh",27.9440197,80.7685945,Bicycle Shop,3.6,118,"Lakhimpur, Uttar Pradesh",,In-store shopping
"Sakate Sweets Mallawan, Uttar Pradesh",27.0273579,80.1519634,Sweet shop,4.8,17,"Mallawan, Uttar Pradesh",097939 78241,In-store shopping
"Dell Exclusive Store - Bareilly Bareilly, Uttar Pradesh",28.3535859,79.4181331,Computer store,4.3,265,"Bareilly, Uttar Pradesh",080 4800 8898,
"Cell point Mobile shop Gursahaiganj, Uttar Pradesh",27.1168485,79.7329676,Cell phone store,5,216,"Gursahaiganj, Uttar Pradesh",092193 60382,In-store shopping
"Baba Sammi Halwai Hardoi, Uttar Pradesh",27.3940467,80.139744,Sweet shop,4.3,230,"Hardoi, Uttar Pradesh",070076 39903,
"Famous Tailar Lucknow, Uttar Pradesh",26.8880607,80.9302756,Boutique,,,"Lucknow, Uttar Pradesh",098394 70295,Delivery
"Om Bakery Farrukhabad, Uttar Pradesh",27.3904722,79.5813911,Bakery and Cake Shop,4.1,163,"Farrukhabad, Uttar Pradesh",094506 97317,
"Shri Annapurna sweets and bakery Hardoi, Uttar Pradesh",27.3976938,80.1365825,Sweet shop,4.4,27,"Hardoi, Uttar Pradesh",,In-store shopping
"Shubham Sweets Shahjahanpur, Uttar Pradesh",27.8594139,79.9103494,Sweet shop,4.3,84,"Shahjahanpur, Uttar Pradesh",,
"The Classic Sweets And Restaurant Sitapur, Uttar Pradesh",27.5698158,80.6812006,Indian sweets shop,3.7,787,"Sitapur, Uttar Pradesh",094150 84663,
"Bhagat Ji Ghadi Wale Farrukhabad, Uttar Pradesh",27.3893504,79.5824625,Watch store,4.1,7,"Farrukhabad, Uttar Pradesh",,
"Al Abaan Perfumes Kannauj, Uttar Pradesh",27.0583966,79.9082508,Perfume store,5,33,"Kannauj, Uttar Pradesh",,
"Famous fancy cloth store Raja Ka Rampur, Uttar Pradesh",27.5600643,79.1550662,Clothing store,5,1,"Raja Ka Rampur, Uttar Pradesh",,
"Roza mandi Shahjahanpur, Uttar Pradesh",27.8539184,79.9473836,Supermarket,4,220,"Shahjahanpur, Uttar Pradesh",,In-store shopping
"Duroflex - Mattress, Vishnupuri Hardoi, Uttar Pradesh",27.3947907,80.1309476,Mattress store,4.4,21,"Hardoi, Uttar Pradesh",083185 48652,
"Flying Apron Bakery Shahjahanpur Shahjahanpur, Uttar Pradesh",27.8712208,79.9468968,Bakery and Cake Shop,5,21,"Shahjahanpur, Uttar Pradesh",,In-store shopping
"Rupapur district hardoi Munder, Uttar Pradesh",27.4996587,79.7695728,Bakery and Cake Shop,4,21,"Munder, Uttar Pradesh",,
"Anirudh kirana store Kabir Pur, Uttar Pradesh",26.9279083,80.2422767,General store,5,2,"Kabir Pur, Uttar Pradesh",,
"Alinagar Mahi Stote Ali Nagar, Uttar Pradesh",27.7993848,80.4187425,Supermarket,5,2,"Ali Nagar, Uttar Pradesh",072504 21732,In-store shopping
"Dalla Sweets Shahabad, Uttar Pradesh",27.6447139,79.9367119,Sweet shop,4.2,63,"Shahabad, Uttar Pradesh",072753 92734,
"Famous Furniture Farrukhabad, Uttar Pradesh",27.3877949,79.5863735,Furniture store,,,"Farrukhabad, Uttar Pradesh",,In-store shopping
"City Readymade Garments Tera, Uttar Pradesh",27.886431,79.9097274,Clothing store,4.3,6,"Tera, Uttar Pradesh",094155 28846,
"Anmol Sweets Shahjahanpur, Uttar Pradesh",27.9186536,79.9296229,Restaurant,3.9,51,"Shahjahanpur, Uttar Pradesh",,
"Famous Shop Of Kusmara Harchandpur Kusmara, Uttar Pradesh",27.1072447,79.2772444,Shopping mall,4,1,"Harchandpur Kusmara, Uttar Pradesh",073516 97074,
"Shree Balaji Saree Collection Kanpur, Uttar Pradesh",26.4630895,80.3506101,Women's clothing store,5,1,"Kanpur, Uttar Pradesh",084004 78404,In-store shopping
"Gabbar Book Shop Jalalabad, Uttar Pradesh",27.7255856,79.6553133,Book store,3.9,28,"Jalalabad, Uttar Pradesh",,
"GIRISH CHANDRA SWEETS & MILK Lakhimpur, Uttar Pradesh",27.943648,80.7683461,Sweet shop,3.8,13,"Lakhimpur, Uttar Pradesh",099197 84372,In-store shopping
"Fashion Shop Sumerpur, Uttar Pradesh",25.8263937,80.1573915,Men's clothing store,,,"Sumerpur, Uttar Pradesh",099563 64585,In-store shopping
"Farrukhabad Ki Famous Sikanji Farrukhabad, Uttar Pradesh",27.3919197,79.5904427,Ice Cream,,,"Farrukhabad, Uttar Pradesh",070078 79607,Takeaway
"Narayan Misthan Bhandar Hardoi, Uttar Pradesh",27.4004753,80.1255714,Restaurant,4.2,30,"Hardoi, Uttar Pradesh",087077 21798,Dine-in
"Nattha (Dairy,Bakery & Confectionary) Sandila, Uttar Pradesh",27.067073,80.5135695,Bakery and Cake Shop,4.4,136,"Sandila, Uttar Pradesh",,
"Pragati Pustak Mahal Shahjahanpur, Uttar Pradesh",27.891918,79.9177862,Book store,3.9,74,"Shahjahanpur, Uttar Pradesh",097958 15728,
"Vishal shrivastav Kirana Store Udham Pur, Uttar Pradesh",26.9428828,79.6850473,Indian grocery store,5,5,"Udham Pur, Uttar Pradesh",,
"Maa Vaishno Sweets Gangsara, Uttar Pradesh",28.1242664,80.1707627,Dessert shop,4.7,9,"Gangsara, Uttar Pradesh",091250 95101,Dine-in
"Ganesh mishra Jewelers Allaganj, Uttar Pradesh",27.544056,79.6877719,Jeweler,5,5,"Allaganj, Uttar Pradesh",,
"Famous tailors Nawabganj, Uttar Pradesh",28.5420374,79.6327687,Clothing store,5,3,"Nawabganj, Uttar Pradesh",087559 34378,
"Shree balaji electricals[S.B.E] mohammadi_kheri, Uttar Pradesh",27.9524206,80.2131836,Store,5,9,"mohammadi_kheri, Uttar Pradesh",,
"Shopping Hub Lucknow, Uttar Pradesh",26.8058588,80.8998361,Shopping mall,5,8,"Lucknow, Uttar Pradesh",,
"Annapurna Restaurant And Sweets Hardoi, Uttar Pradesh",27.3978241,80.1366705,Indian sweets shop,3.9,80,"Hardoi, Uttar Pradesh",094538 96288,
jeet digital art studio Uttar Pradesh,27.392064,80.1234526,Photo shop,4.7,41,Uttar Pradesh,089602 57396,
"NISHAT MEDICAL STORE Shahjahanpur, Uttar Pradesh",27.8752687,79.9108526,Pharmacy,4.4,21,"Shahjahanpur, Uttar Pradesh",090269 63465,
"Tripathi Chashma Ghar (TCG) Talgram, Chhibramau, Uttar Pradesh",27.144151,79.5090869,Optician,5,62,"Talgram, Chhibramau, Uttar Pradesh",087951 80533,
"Famous cloth store Sikrohar, Sada Pur, Uttar Pradesh",26.3904786,82.6033803,Clothing store,5,1,"Sikrohar, Sada Pur, Uttar Pradesh",,
"Chawla Mobiles Shahjahanpur, Uttar Pradesh",27.8860534,79.9140704,Cell phone store,3.6,37,"Shahjahanpur, Uttar Pradesh",098890 69695,In-store shopping
"Aligarh Opticals Budaun, Uttar Pradesh",28.0291978,79.1270539,Optician,3.6,34,"Budaun, Uttar Pradesh",,In-store shopping
"Noushad ali Famous seat cover Hardoi, Uttar Pradesh",27.3965071,80.1250479,Store,,,"Hardoi, Uttar Pradesh",,
"FAMOUS COLLECTION Bahadurganj, Uttar Pradesh",25.8755808,83.6480409,Men's clothing store,5,1,"Bahadurganj, Uttar Pradesh",097946 49494,
"AMBEY SWEETS (Tilhar famous Louj) Tilhar, Uttar Pradesh",27.9682623,79.7408869,Sweet shop,5,1,"Tilhar, Uttar Pradesh",,
"Famous Readymade Garments Lucknow, Uttar Pradesh",26.8622771,80.8807057,Clothing store,3,1,"Lucknow, Uttar Pradesh",094155 81145,
"Famous Cloth Store Basti, Uttar Pradesh",26.8072186,82.7571321,Clothing store,,,"Basti, Uttar Pradesh",070074 51880,
"Famous Men's Wear Pipra Daulakadam, Uttar Pradesh",26.7023078,83.8071546,Clothing store,5,1,"Pipra Daulakadam, Uttar Pradesh",,
"New Famous fashion kushinagar, Uttar Pradesh",27.0357731,83.8340441,Clothing store,5,1,"kushinagar, Uttar Pradesh",,
"Famous readymade Beloha Bazaar, Uttar Pradesh",27.0742324,82.9880912,Clothing store,,,"Beloha Bazaar, Uttar Pradesh",,
"Famous Glass House Madhwapur, Uttar Pradesh",27.170147,82.9837556,Clothing store,,,"Madhwapur, Uttar Pradesh",079053 38168,
"Top collection,patwa dayal complex Sultanpur, Uttar Pradesh",26.2528117,82.071245,Shopping mall,3.4,80,"Sultanpur, Uttar Pradesh",080904 44882,
"Famous footwear Sangipur, Uttar Pradesh",26.0464375,81.6671776,Shopping mall,,,"Sangipur, Uttar Pradesh",,
"FAMOUS CLOTH STORE Akbarpur, Uttar Pradesh",26.4269869,82.5331119,Clothing store,,,"Akbarpur, Uttar Pradesh",,
"Famous Clothes House Sikandrabad, Uttar Pradesh",28.4543138,77.6979536,Clothing store,,,"Sikandrabad, Uttar Pradesh",090587 87435,
"Shri Shyam Mishthan Bhandar Hardoi, Uttar Pradesh",27.3921289,80.1240355,Sweet shop,4.8,4,"Hardoi, Uttar Pradesh",,
"Famous Kalakand sweets Bareilly, Uttar Pradesh",28.3372672,79.4093788,Indian sweets shop,,,"Bareilly, Uttar Pradesh",,
"Rizwan Castmetic Shop Haiderabad, Uttar Pradesh",26.8235431,80.4998756,Cosmetics store,3,5,"Haiderabad, Uttar Pradesh",094557 71007,
"Famous Telur Risia Bazaar, Uttar Pradesh",27.690773,81.5920288,Clothing store,,,"Risia Bazaar, Uttar Pradesh",098388 73677,
"famous meet shop Lucknow, Uttar Pradesh",26.8639809,80.86213,Business related,,,"Lucknow, Uttar Pradesh",095592 81099,
"Shree Krishna Collections Lucknow, Uttar Pradesh",26.8967242,80.9968644,Women's clothing store,4.9,15,"Lucknow, Uttar Pradesh",,
"Mijhaura famous saree shop Dilawalpur, Uttar Pradesh",26.4824776,82.397847,Clothing store,,,"Dilawalpur, Uttar Pradesh",,
Famous Sringar Collection Uttar Pradesh,25.9154165,81.9740971,Cosmetics store,,,Uttar Pradesh,072720 14265,
"Famous Fashion Wear & Boys Accessories Bijnor, Uttar Pradesh",29.3723186,78.1368122,Clothing store,,,"Bijnor, Uttar Pradesh",084457 28766,
"Famous Talors Thakurdwara, Uttar Pradesh",29.1912142,78.8607097,Clothing store,,,"Thakurdwara, Uttar Pradesh",089230 93592,
"Famous Cosmetics Kanth, Uttar Pradesh",29.0618599,78.6284733,General store,,,"Kanth, Uttar Pradesh",099273 20456,
"World famous jeans shop Barohia, Uttar Pradesh",27.2621019,83.6857878,Clothing store,,,"Barohia, Uttar Pradesh",073101 02043,
"Famous garment Noorpur, Uttar Pradesh",29.1528406,78.4068975,Clothing store,,,"Noorpur, Uttar Pradesh",,
"Famous Tailors Bela Pratapgarh, Uttar Pradesh",25.9186709,81.9806373,Men's clothing store,,,"Bela Pratapgarh, Uttar Pradesh",084169 11865,
"Famous Bhanga, Mirzapur, Uttar Pradesh",25.1372601,82.9891301,General store,,,"Bhanga, Mirzapur, Uttar Pradesh",095198 82557,
"Deendayal bartan store Khudaganj, Uttar Pradesh",28.1465632,79.7121992,Store,4,1,"Khudaganj, Uttar Pradesh",,
"Famous footwear Shop Rudrapur, Uttar Pradesh",26.4480853,83.6167113,Marketing consultant,,,"Rudrapur, Uttar Pradesh",096530 73813,
"Madras Mall Fancy Showroom Kanpur, Uttar Pradesh",26.410095,80.3294623,Clothing store,1,1,"Kanpur, Uttar Pradesh",093353 09194,
"Coca Cola Agencies Shahabad, Uttar Pradesh",27.6363456,79.9318232,Grocery store,4.6,5,"Shahabad, Uttar Pradesh",,
"Shops for Sale Ghaziabad, Uttar Pradesh",28.6465604,77.3681102,Real Estate Builders & Construction Company,5,5,"Ghaziabad, Uttar Pradesh",093133 01298,
"chikankari Lucknow, Uttar Pradesh",26.8537382,80.9473937,Clothing store,4,1,"Lucknow, Uttar Pradesh",098996 73784,
"Bhole Nath Sweets Hardoi, Uttar Pradesh",27.3997356,80.1444834,Dessert shop,4,1,"Hardoi, Uttar Pradesh",096513 29057,
"Patna Market Patna, Bihar",25.6209142,85.1603169,Market,4,12000,"Patna, Bihar",073524 61268,
"Vasundhara Metro Mall Patna, Bihar",25.6231392,85.1246851,Outlet mall,4.1,7800,"Patna, Bihar",,
"V-Mart - Patna-Gravity Mall Tiwari, Patna, Bihar",25.602968,85.153439,Clothing store,4.7,6500,"Tiwari, Patna, Bihar",095995 02615,"Delivery,In-store pick-up"
"Centro Mall Patna, Bihar",25.6119003,85.1389008,Shopping mall,4.2,35000,"Patna, Bihar",,",In-store shopping"
"Lhasa Market Patna, Bihar",25.6069336,85.1343149,Clothing store,3.8,4700,"Patna, Bihar",,",On-site services"
"V2 Mall Patna, Bihar",25.6072526,85.1381009,Clothing store,3.8,16000,"Patna, Bihar",011 4177 1850,
"P&M Mall Patna, Bihar",25.6340301,85.1063556,Shopping mall,4.3,47000,"Patna, Bihar",,
"V-Mart - Patna City Patna, Bihar",25.6003896,85.2203485,Clothing store,4.7,5400,"Patna, Bihar",093083 14142,"Kerbside pickup,In-store shopping"
"Girija Fashion Patna, Bihar",25.609458,85.1350921,Clothing store,4,13000,"Patna, Bihar",0612 222 6320,
"Chitralekha Shopping Mall Bettiah, Bihar",26.8014724,84.5039929,Clothing store,4.9,17000,"Bettiah, Bihar",06254 350 005,"Delivery,In-store shopping"
"Radha Rani | Ladies Mall With Ramp Walk | Best Saree shop in patna | Bihar Best collections for Gown and lehnga Patna, Bihar",25.6065736,85.0809262,Clothing store,4.7,1100,"Patna, Bihar",099340 07335,"In-store pick-up,In-store shopping"
"Patna One Plaza Patna, Bihar",25.6097844,85.1367248,Shopping mall,4,16000,"Patna, Bihar",,",On-site services"
"Cheap & Best Super Mart Patna, Bihar",25.6116958,85.1187423,Discount supermarket,3.9,841,"Patna, Bihar",062014 69296,"Delivery,In-store pick-up"
"Famous Rui Bhandar Parsa Bazaar Indarwa, Bihar",26.7710835,85.55855,Store,3.9,20,"Indarwa, Bihar",,"Delivery,In-store shopping"
"Sangita Sweets Patna, Bihar",25.6119345,85.1342524,Sweet shop,4.2,901,"Patna, Bihar",082358 11669,",Delivery"
"Bihar Market Patna, Bihar",25.5998474,85.2227062,Outlet mall,3.9,54,"Patna, Bihar",,",In-store shopping"
"V2 Value & Variety Bihar Sharif, Bihar",25.1990532,85.5161639,Clothing store,3.8,2300,"Bihar Sharif, Bihar",011 4177 1850,"Delivery,In-store pick-up"
"New Manish Saree Emporium - Best saree Shop, lehenga, Wedding Dress, ladies suit shop in khetan supermarket in Patna Patna, Bihar",25.6159776,85.1536409,Saree Shop,4.4,176,"Patna, Bihar",096932 27513,"In-store pick-up,In-store shopping"
"Krishna Lahthi Bhandar Muzaffarpur, Bihar",26.088375,85.3906103,Bangle Shop,4.9,77,"Muzaffarpur, Bihar",098355 43750,
"Kamla Store Patna, Bihar",25.6034465,85.1359739,Clothing store,4.5,22,"Patna, Bihar",095703 32255,
"Hathwa Market Nageshwar Colony, Patna, Bihar",25.6153519,85.1525545,Market,4.1,3900,"Nageshwar Colony, Patna, Bihar",,
"Fashion mall Patna, Bihar",25.5929203,85.179869,Clothing store,4.8,38,"Patna, Bihar",,
"chunnilal Patna, Bihar",25.6029139,85.1531678,Clothing store,3.8,524,"Patna, Bihar",093343 92615,"In-store pick-up,In-store shopping"
"Famous Kurta House Gaya, Bihar",24.7959449,85.0084087,Clothing store,4.3,6,"Gaya, Bihar",095465 06154,",In-store shopping"
"The Lehenga Store Patna, Bihar",25.6120984,85.1152892,Clothing store,4.9,93,"Patna, Bihar",097987 99696,
"Shop Mahua, Bihar",25.6956896,85.4177053,Store,3.9,22,"Mahua, Bihar",,",Delivery"
"Roop milan stores Bihar Sharif, Bihar",25.1954497,85.5237838,Clothing store,4.1,223,"Bihar Sharif, Bihar",,",Delivery"
"Nazarin Sleeper Shop Main Road Chandanpttai Chook Aurahi Ekparha, Bihar",26.0462254,86.7403315,Shopping mall,4.8,24,"Aurahi Ekparha, Bihar",,",In-store shopping"
"JALANSHOP : Super Market Jagdeo Path Patna, Bihar",25.6061505,85.0750329,Clothing store,3.7,254,"Patna, Bihar",093345 26090,",Delivery"
"R C Western Mall Patna, Bihar",25.6187145,85.0482291,Shopping mall,4.2,2100,"Patna, Bihar",094305 57689,",On-site services"
"Miss india fashion store Bihar Sharif, Bihar",25.1955952,85.5203091,Designer Clothing Store,5,11,"Bihar Sharif, Bihar",082105 82029,"In-store pick-up,In-store shopping"
Maharaja Meat Shop Patna,25.6046349,85.0860131,Chicken & Mutton Shop,3.8,505,Patna,070612 33707,
"The Raymond shop Bihar Sharif, Bihar",25.1956395,85.5182742,Clothing store,4,186,"Bihar Sharif, Bihar",06112 230 827,"Delivery,In-store shopping"
"The Grand Mall Muzaffarpur, Bihar",26.1101584,85.3958907,Shopping mall,4.2,14000,"Muzaffarpur, Bihar",,",In-store shopping"
"Maharaja sweets and ghee Muzaffarpur, Bihar",26.1245702,85.3865391,Sweet shop,4.5,1000,"Muzaffarpur, Bihar",,",Delivery"
"Chunnilal Mega Mart Patna, Bihar",25.6145841,85.1159934,Clothing store,3.9,1600,"Patna, Bihar",081022 34702,
"GV Mall Patna, Bihar",25.6124469,85.1181784,Shopping mall,3.8,6500,"Patna, Bihar",091109 94415,",On-site services"
"Aan Patna, Bihar",25.6146191,85.1527166,Bridal shop,4.9,154,"Patna, Bihar",099059 27180,"Delivery,In-store shopping"
"Rohit Famous Shoe Store Bihar Sharif, Patna, Bihar",25.0278979,85.424363,Shoe store,3,2,"Bihar Sharif, Patna, Bihar",078707 45780,",In-store shopping"
"Licchavi shopping mall Dighikala West, Bihar",25.7113491,85.2239236,Outlet mall,4.3,40,"Dighikala West, Bihar",097989 83752,",In-store shopping"
"Planet Fashion Patna, Bihar",25.5940947,85.1375645,Clothing store,4.4,40,"Patna, Bihar",070047 61634,",Delivery"
"mannat's Patna, Bihar",25.6141752,85.119974,Clothing store,4.2,83,"Patna, Bihar",093341 17767,"Kerbside pickup,In-store shopping"
"Famous Cloth Store Gaya, Bihar",24.7969392,85.0070622,Clothing store,3.5,6,"Gaya, Bihar",1800 22 8990,",Delivery"
"Bazar Kolkata Patna, Bihar",25.6209402,85.1228508,Shopping mall,3.8,995,"Patna, Bihar",,
"Laddoo Gopal Sweet Shop Patna, Bihar",25.6261984,85.1107386,Sweets and dessert buffet,4,1900,"Patna, Bihar",077397 26550,
"New Neel Kamal Hajipur, Bihar",25.6907697,85.2105457,Clothing store,3.9,489,"Hajipur, Bihar",06224 260 410,"Delivery,In-store shopping"
"Triloki Singh Market Patna, Bihar",25.646418,85.090292,Clothing store,4.1,56,"Patna, Bihar",,
"Baba Ki Dukan Lahthi Bhandar- Baba Lahthi in Muzaffarpur Muzaffarpur, Bihar",26.1218408,85.3848097,Bangle Shop,4,797,"Muzaffarpur, Bihar",097087 70764,
"Siyaram's Shop Khetan Super Market Jeevan's Patna, Bihar",25.6155067,85.1539486,Clothing store,4.3,25,"Patna, Bihar",062072 99234,"Delivery,In-store pick-up"
"P&M Mall Muzaffarpur Muzaffarpur, Bihar",26.1016038,85.4081604,Shopping mall,4.3,2600,"Muzaffarpur, Bihar",090310 06986,",In-store shopping"
"Chandamama - Readymade Garment's Hajipur Hajipur, Bihar",25.6915716,85.2122812,Clothing store,3.9,2300,"Hajipur, Bihar",073239 91666,"In-store pick-up,In-store shopping"
"Vishal Mega Mart Patna, Bihar",25.5940947,85.1375645,Hypermarket,3.8,11000,"Patna, Bihar",072178 87925,"Delivery,In-store shopping"
"Bihar Bazar Supermarket Patna, Bihar",25.5769533,85.069209,Supermarket,3.9,130,"Patna, Bihar",098356 56659,"Delivery,In-store pick-up"
"Puja Shoppee Muzaffarpur, Bihar",26.127714,85.3869542,Clothing store,3.8,818,"Muzaffarpur, Bihar",,",Delivery"
"Bihar Foods & General Store Patna, Bihar",25.6165161,85.098627,General store,4.2,14,"Patna, Bihar",090064 52390,
"Vishal Vastralaya Maker, Bihar",25.9589005,85.0290927,Clothing store,3.9,10,"Maker, Bihar",099398 49950,",In-store shopping"
"Khetan Super Market Patna, Bihar",25.6156101,85.1531525,Market,4.2,1600,"Patna, Bihar",,
"Green Bazaar Patna, Bihar",25.5764224,85.064965,Grocery store,4.1,297,"Patna, Bihar",090604 80001,"Delivery,In-store shopping"
"Famous Fancy Cloth Bihar Sharif, Bihar",25.2076021,85.5259811,Women's clothing store,3.5,2,"Bihar Sharif, Bihar",072093 53184,",In-store shopping"
"Shyam Bajaj Clothes Shop Patna, Bihar",25.6418459,85.0562283,Clothing store,3.8,41,"Patna, Bihar",070049 76700,
"SHAGUN MART Patna, Bihar",25.6223911,85.0411872,Clothing store,3.6,413,"Patna, Bihar",092977 78090,
"Manyavar Bihar Sharif, Bihar",25.2037424,85.5178107,Men's clothing store,4.7,528,"Bihar Sharif, Bihar",087895 43113,",Delivery"
"Fortune Bazar I Women's Men's & Kid's Clothing & Fashion I Best Buy Online Shopping Patna, Bihar",25.6093596,85.1429533,Store,5,4,"Patna, Bihar",093599 67703,"Delivery,In-store shopping"
"1 India Family Mart Barh, Bihar",25.4701165,85.7086975,Shopping mall,3.6,78,"Barh, Bihar",1800 121 848 484,",Delivery"
"Guru Kirpa Store Muzaffarpur, Bihar",26.1232273,85.3629573,General store,3.9,51,"Muzaffarpur, Bihar",094314 75376,
"Chunnilal Megamart Pvt Ltd - Bihar Sharif Bihar Sharif, Bihar",25.1961633,85.5188468,Clothing store,3.9,35,"Bihar Sharif, Bihar",,",Delivery"
"Miniso Kankarbagh Store (Patna) Patna, Bihar",25.6016662,85.1466131,Cosmetics store,4.2,164,"Patna, Bihar",,
"Famous Tailor & Footwear Baulia, Bihar",24.5952752,83.9149214,Clothing store,5,2,"Baulia, Bihar",,
"Santushti Sweets Patna, Bihar",25.6119362,85.1167991,Sweet shop,4.3,873,"Patna, Bihar",,
"Paak Daaman Store Muzaffarpur, Bihar",26.1256352,85.3839276,Religious goods store,4.2,21,"Muzaffarpur, Bihar",,"Delivery,In-store shopping"
"Famous Enterprises Dhaka, Bihar",26.688451,85.1705265,Shopping mall,5,1,"Dhaka, Bihar",,
"ARJUN BOSAK MARKET Rupauli, Bihar",25.8072361,87.7798781,Clothing store,4.4,10,"Rupauli, Bihar",,",In-store shopping"
"Famous Tailors,Daudnagar Daudnagar, Bihar",25.9527007,85.1148872,Clothing store,4.7,3,"Daudnagar, Bihar",,"Delivery,In-store shopping"
"Mridani Patna, Bihar",25.6103211,85.135973,Clothing store,5,68,"Patna, Bihar",093341 14132,"Delivery,In-store shopping"
"Z&son's Kaifi anjum grocery shop Islampur, Bihar",25.1359562,85.2121744,Shopping mall,5,5,"Islampur, Bihar",,",In-store shopping"
"MAHARANI STORES Muzaffarpur, Bihar",26.1585525,85.4219547,Bangle Shop,4,1,"Muzaffarpur, Bihar",099342 02809,"Delivery,In-store shopping"
"Panapur famous peda dukan Panapur, Mirpur Patadh, Bihar",25.7797142,85.3408004,Sweet shop,3.8,11,"Panapur, Mirpur Patadh, Bihar",,
"M Baazar Rajendra Nagar Patna, Bihar",25.602056,85.163039,Shopping mall,3.8,116,"Patna, Bihar",,
"Famous Tailors Jafarpur Asli, Bihar",26.0878161,85.0166836,Clothing store,5,1,"Jafarpur Asli, Bihar",087892 18423,",Delivery"
"Vishal Mega Mart Muzaffarpur, Bihar",26.1196607,85.390982,Clothing store,3.8,5300,"Muzaffarpur, Bihar",072178 87926,"In-store pick-up,In-store shopping"
"APPU GHAR Patna, Bihar",25.6094105,85.1487295,Childrens Store,4.5,150,"Patna, Bihar",093343 39028,
"Vinuss One Mall Mohanpur, Bihar",25.8492428,85.7734165,Shopping mall,4.4,184,"Mohanpur, Bihar",,
"Super Market Ziradei, Bihar",26.2141723,84.2517602,Men's clothing store,5,1,"Ziradei, Bihar",097713 61837,"Delivery,In-store shopping"
"JALANSHOP :Super Market Kankarbagh Patna, Bihar",25.6029428,85.148261,Outlet mall,3.7,952,"Patna, Bihar",093345 26090,
"Fashion Palace Bihar Sharif, Bihar",25.1957152,85.5197712,Clothing store,4.8,5,"Bihar Sharif, Bihar",080926 95076,",In-store shopping"
"Chandan Sweets Rambagh Chowk Muzaffarpur, Bihar",26.115653,85.405422,Sweet shop,3.7,399,"Muzaffarpur, Bihar",088739 24456,",Delivery"
"Handloom & Handicraft Haat Patna, Bihar",25.6127226,85.1414137,Shopping mall,4.8,12,"Patna, Bihar",,"In-store pick-up,In-store shopping"
"BAHU BETI Patna, Bihar",25.5940947,85.1375645,Women's clothing store,4.1,15,"Patna, Bihar",,",In-store shopping"
"BIHAR DRESSES AND IARAM SAREE CENTER Kohara, Bihar",25.93537,84.6117805,Clothing store,5,1,"Kohara, Bihar",,",In-store shopping"
"BRANDS GULLY Patna, Bihar",25.618617,85.160044,Clothing store,3.8,133,"Patna, Bihar",070043 61779,
"Peter England Bihar Sharif, Bihar",25.2014546,85.5177736,Clothing store,4,99,"Bihar Sharif, Bihar",,
"Drone shop in patna Patna, Bihar",25.5943172,85.1574958,Drone shop,4.8,605,"Patna, Bihar",098019 80589,
